INCIDENT_ID,OFFICER_RACE,OFFICER_GENDER,OFFICER_EXPERIENCE_YEARS,OFFICER_POLICY_VIOLATION,ObjectID,CreationDate,Creator,EditDate,Editor
7307,White,Male,4,NO,1,2016-12-20T23:51:54.735Z,charlottedata,2016-12-20T23:51:54.735Z,charlottedata
7307,White,Male,4,NO,2,2016-12-20T23:51:54.735Z,charlottedata,2016-12-20T23:51:54.735Z,charlottedata
7699,White,Male,7,NO,3,2016-12-20T23:51:54.735Z,charlottedata,2016-12-20T23:51:54.735Z,charlottedata
7699,White,Male,7,NO,4,2016-12-20T23:51:54.735Z,charlottedata,2016-12-20T23:51:54.735Z,charlottedata
7699,White,Male,2,NO,5,2016-12-20T23:51:54.735Z,charlottedata,2016-12-20T23:51:54.735Z,charlottedata
7699,Black,Male,5,NO,6,2016-12-20T23:51:54.735Z,charlottedata,2016-12-20T23:51:54.735Z,charlottedata
9687,Asian or Pacific islander,Male,2,NO,7,2016-12-20T23:51:54.735Z,charlottedata,2016-12-20T23:51:54.735Z,charlottedata
10386,White,Male,4,NO,8,2016-12-20T23:51:54.735Z,charlottedata,2016-12-20T23:51:54.735Z,charlottedata
10392,White,Male,1,NO,9,2016-12-20T23:51:54.735Z,charlottedata,2016-12-20T23:51:54.735Z,charlottedata
10484,White,Male,11,NO,10,2016-12-20T23:51:54.735Z,charlottedata,2016-12-20T23:51:54.735Z,charlottedata
10484,White,Male,4,NO,11,2016-12-20T23:51:54.735Z,charlottedata,2016-12-20T23:51:54.735Z,charlottedata
10484,White,Male,2,NO,12,2016-12-20T23:51:54.735Z,charlottedata,2016-12-20T23:51:54.735Z,charlottedata
10484,White,Male,17,NO,13,2016-12-20T23:51:54.735Z,charlottedata,2016-12-20T23:51:54.735Z,charlottedata
10484,White,Male,10,NO,14,2016-12-20T23:51:54.735Z,charlottedata,2016-12-20T23:51:54.735Z,charlottedata
10484,White,Male,3,NO,15,2016-12-20T23:51:54.735Z,charlottedata,2016-12-20T23:51:54.735Z,charlottedata
10484,White,Male,4,NO,16,2016-12-20T23:51:54.735Z,charlottedata,2016-12-20T23:51:54.735Z,charlottedata
10484,White,Male,8,NO,17,2016-12-20T23:51:54.735Z,charlottedata,2016-12-20T23:51:54.735Z,charlottedata
10789,White,Male,2,NO,18,2016-12-20T23:51:54.735Z,charlottedata,2016-12-20T23:51:54.735Z,charlottedata
10973,White,Male,2,NO,19,2016-12-20T23:51:54.735Z,charlottedata,2016-12-20T23:51:54.735Z,charlottedata
10974,White,Male,10,NO,20,2016-12-20T23:51:54.735Z,charlottedata,2016-12-20T23:51:54.735Z,charlottedata
11493,White,Male,2,NO,21,2016-12-20T23:51:54.735Z,charlottedata,2016-12-20T23:51:54.735Z,charlottedata
12277,Black,Male,2,NO,22,2016-12-20T23:51:54.735Z,charlottedata,2016-12-20T23:51:54.735Z,charlottedata
13080,White,Male,23,NO,23,2016-12-20T23:51:54.735Z,charlottedata,2016-12-20T23:51:54.735Z,charlottedata
13634,White,Male,3,NO,24,2016-12-20T23:51:54.735Z,charlottedata,2016-12-20T23:51:54.735Z,charlottedata
14477,White,Male,2,NO,25,2016-12-20T23:51:54.735Z,charlottedata,2016-12-20T23:51:54.735Z,charlottedata
15255,White,Male,6,NO,26,2016-12-20T23:51:54.735Z,charlottedata,2016-12-20T23:51:54.735Z,charlottedata
15255,Black,Male,6,NO,27,2016-12-20T23:51:54.735Z,charlottedata,2016-12-20T23:51:54.735Z,charlottedata
